"Y","W","S","C"
3.573,1,0,0
4.139,1,0,1
1.385,1,1,0
3.804,1,1,1
1.941,1,2,0
3.729,1,2,1
0.973,1,3,0
1.667,1,3,1
2.85,2,0,0
2.725,2,0,1
1.594,2,1,0
1.731,2,1,1
1.27,2,2,0
2.485,2,2,1
0.928,2,3,0
9.678,2,3,1
1.914,3,0,0
0.726,3,0,1
0,3,1,0
0.701,3,1,1
0.998,3,2,0
2.923,3,2,1
0.24,3,3,0
2.521,3,3,1
0,4,0,1
0,4,1,0
4.599,4,1,1
3.535,4,2,0
3.952,4,2,1
0.844,4,3,0
2.308,4,3,1
0,5,0,1
0,5,1,1
5.059,5,2,0
3.773,5,2,1
0,5,3,0
3.2,5,3,1
4.838,1,0,0
5.255,1,0,1
14.592,1,1,0
1.921,1,1,1
1.169,1,2,0
5.274,1,2,1
3.563,2,0,0
3.35,2,0,1
4.466,2,1,0
0,2,1,1
2.748,2,2,0
4.817,2,2,1
0.788,2,3,0
2.56,3,0,0
0.618,3,0,1
2.639,3,1,0
1.037,3,1,1
2.674,3,2,0
3.793,3,2,1
0,3,3,0
1.979,3,3,1
3.75,4,0,0
3.333,4,0,1
1.406,4,1,0
1.667,4,1,1
2.58,4,2,0
1.112,4,2,1
0.43,4,3,0
1.43,4,3,1
0,5,0,0
0,5,0,1
0,5,1,0
0.738,5,1,1
2.11,5,2,0
2.303,5,2,1
2.51,5,3,0
2.114,5,3,1
4.209,1,0,0
1.128,1,0,1
2.658,1,1,0
0,1,1,1
3.246,1,2,0
2.25,1,2,1
2.37,2,0,0
0,2,0,1
1.847,2,1,0
0,2,1,1
1.976,2,2,0
2.903,2,2,1
0,2,3,0
1.538,3,0,0
0,3,0,1
4.539,3,1,0
0,3,1,1
1.824,3,2,0
2.551,3,2,1
1.032,3,3,0
2.991,3,3,1
0,4,0,0
0,4,0,1
1.056,4,1,0
0.46,4,1,1
3.312,4,2,0
3.681,4,2,1
0.675,4,3,0
0.82,4,3,1
0,5,0,0
0,5,0,1
0,5,1,0
0,5,1,1
2.115,5,2,0
3.317,5,2,1
0.377,5,3,0
2.84,5,3,1
3.83,1,0,1
6.91,1,1,1
0,1,2,0
2.144,1,2,1
0.999,2,0,0
1.149,2,0,1
1.916,2,1,0
1.805,2,1,1
2.077,2,2,0
2.752,2,2,1
3.75,2,3,0
1.808,2,3,1
0,3,0,1
5.026,3,1,1
0.94,3,2,0
2.574,3,2,1
0.606,3,3,0
0,4,0,0
0,4,0,1
4.961,4,1,1
1.92,4,2,0
2.931,4,2,1
0,4,3,0
1.517,4,3,1
0,5,0,1
1.832,5,1,1
0.588,5,2,0
3.642,5,2,1
0.365,5,3,0
2.446,5,3,1
1.098,1,0,1
0.447,1,1,0
3.026,1,1,1
2.137,1,2,0
2.869,1,2,1
0,2,0,1
3.485,2,1,0
3.082,2,1,1
0.922,2,2,0
2.553,2,2,1
0,2,3,0
3.517,2,3,1
0,3,0,1
0,3,1,0
1.194,3,1,1
1.715,3,2,0
3.402,3,2,1
1.95,3,3,0
5.018,3,3,1
1.667,4,0,1
4.425,4,1,1
2.786,4,2,0
3.431,4,2,1
0.857,4,3,0
2.797,4,3,1
0,5,0,1
2.609,5,1,1
1.333,5,2,0
2.924,5,2,1
0.524,5,3,0
2.527,5,3,1
2.4,1,0,0
0.292,1,0,1
2.839,1,1,0
1.019,1,1,1
1.195,1,2,0
2.611,1,2,1
1.667,1,3,0
9.796,2,0,0
4.41,2,0,1
1.667,2,1,0
0.707,2,1,1
1.02,2,2,0
2.331,2,2,1
1.049,3,0,0
0,3,0,1
1.667,3,1,0
2.102,3,1,1
2.625,3,2,0
2.601,3,2,1
0.727,3,3,0
3.45,3,3,1
1.408,4,0,0
0,4,0,1
1.614,4,1,0
0,4,1,1
1.438,4,2,0
3.873,4,2,1
0.35,4,3,0
1.324,4,3,1
0,5,0,1
10.909,5,1,1
0.997,5,2,0
1.462,5,2,1
1.788,5,3,0
1.674,5,3,1
0,1,0,1
0,1,1,0
2.086,1,1,1
0.62,1,2,0
6.276,1,2,1
4.397,2,0,1
1.154,2,1,1
1.797,2,2,0
2.982,2,2,1
0.413,2,3,0
0.852,2,3,1
0,3,0,1
0.613,3,1,1
1.39,3,2,0
2.124,3,2,1
0,3,3,0
1.014,3,3,1
0,4,0,1
0,4,1,0
0,4,1,1
0.841,4,2,0
1.777,4,2,1
0.297,4,3,0
1.727,4,3,1
0,5,0,1
0,5,1,1
1.422,5,2,0
3.018,5,2,1
0.339,5,3,0
2.336,5,3,1
1.576,1,0,1
2.222,1,1,1
0,1,2,0
2.264,1,2,1
0,2,0,1
0,2,1,0
0,2,1,1
2.37,2,2,0
2.696,2,2,1
0,2,3,0
0,3,0,1
0,3,1,1
1.046,3,2,0
1.717,3,2,1
1.408,3,3,0
3.394,3,3,1
0,4,0,1
0,4,1,1
1.522,4,2,0
3.727,4,2,1
0,4,3,0
1.852,4,3,1
0,5,0,1
0,5,1,1
2.283,5,2,0
3.089,5,2,1
1.01,5,3,0
2.299,5,3,1
2.069,1,0,1
0,1,2,0
1.493,1,2,1
0,1,3,0
1.101,2,0,1
0,2,1,1
0.652,2,2,0
1.867,2,2,1
0,2,3,0
0,2,3,1
0,3,0,0
0,3,0,1
0,3,1,1
1.099,3,2,0
2.848,3,2,1
0,3,3,0
2.292,3,3,1
0,4,0,1
0,4,1,0
0,4,1,1
2.161,4,2,0
3.146,4,2,1
0.974,4,3,0
3.011,4,3,1
0.843,5,0,1
0,5,1,1
0.066,5,2,0
1.668,5,2,1
1.081,5,3,0
3.641,5,3,1
0,1,0,1
0,1,1,1
0,1,2,0
4.09,1,2,1
