"Y","W","S","A"
0,1,0,2
45.27,1,1,2
NA,1,2,1
38.15,1,2,2
0,2,0,2
0,2,1,2
0,2,2,1
0,2,2,2
0,3,0,2
0,3,1,2
24.08,3,2,2
58.18,3,3,2
0,4,0,2
0,4,1,2
0,4,2,2
0,4,3,2
NA,5,0,2
0,5,2,2
0,5,3,2
0,1,0,1
0,1,0,2
0,1,1,1
55.4,1,1,2
39.47,1,2,1
35.34,1,2,2
0,1,3,1
344.23,2,0,2
0,2,1,2
0,2,2,1
24.88,2,2,2
0,3,0,2
0,3,1,2
0,3,2,2
0,3,3,2
0,4,2,2
0,4,3,2
0,5,3,2
0,1,0,2
78.29,1,1,2
147.17,1,2,1
0,1,2,2
0,2,0,2
29.93,2,1,2
0,2,2,1
18.39,2,2,2
421.34,3,0,2
0,3,1,2
0,3,2,1
50.24,3,2,2
0,3,3,2
NA,4,0,2
0,4,1,2
0,4,2,1
0,4,2,2
0,4,3,2
0,5,0,2
0,5,1,2
0,5,2,2
0,5,3,2
0,1,0,1
0,1,0,2
0,1,1,1
0,1,1,2
0,1,2,1
0,1,2,2
0,1,3,1
NA,2,0,1
89.3,2,0,2
0,2,1,2
0,2,2,1
48.74,2,2,2
0,2,3,1
0,2,3,2
0,3,0,2
0,3,1,2
0,3,2,1
41.28,3,2,2
0,3,3,2
0,4,1,2
25.34,4,2,2
0,4,3,2
100.78,5,2,2
0,5,3,2
0,1,0,1
0,1,0,2
0,1,1,1
0,1,1,2
31.5,1,2,1
181.45,1,2,2
0,1,3,1
284.86,2,0,2
0,2,1,2
27.11,2,2,1
54.74,2,2,2
84.82,2,3,1
73.98,3,0,2
0,3,1,2
0,3,2,1
0,3,2,2
0,3,3,1
0,3,3,2
NA,4,0,2
0,4,1,2
31.45,4,2,2
0,4,3,1
0,5,2,2
0,5,3,2
0,1,0,1
0,1,0,2
0,1,1,1
0,1,2,1
0,1,2,2
0,1,3,1
0,2,0,2
0,2,1,1
0,2,1,2
0,2,2,1
0,2,2,2
0,2,3,1
0,3,1,2
97.39,3,2,1
0,3,2,2
0,3,3,1
0,3,3,2
0,4,2,1
142.64,4,2,2
0,4,3,1
0,4,3,2
0,5,2,2
0,5,3,1
0,5,3,2
108.36,1,0,1
368.63,1,0,2
0,1,1,1
115.91,1,1,2
0,1,2,1
0,1,2,2
0,1,3,1
129.37,2,0,2
0,2,1,2
0,2,2,1
22.35,2,2,2
0,2,3,1
0,3,0,2
0,3,1,2
0,3,2,1
44.69,3,2,2
0,3,3,1
0,3,3,2
NA,4,0,2
0,4,1,2
0,4,2,1
27.17,4,2,2
0,4,3,1
0,4,3,2
151.83,5,2,2
0,5,3,2
NA,1,0,1
0,1,0,2
0,1,1,2
0,1,2,1
20.87,1,2,2
0,1,3,1
0,1,3,2
0,2,0,2
0,2,1,2
0,2,2,1
46.01,2,2,2
0,3,0,2
0,3,1,2
0,3,2,2
0,3,3,2
0,4,2,2
0,1,0,1
142.33,1,0,2
0,1,1,1
33.97,1,1,2
0,1,2,1
0,1,2,2
0,2,0,1
0,2,0,2
60.39,2,1,2
0,2,2,1
95.71,2,2,2
0,2,3,1
0,3,0,2
0,3,1,2
0,3,2,2
0,3,3,2
0,4,0,2
0,4,1,2
68.9,4,2,2
91.85,4,3,2
71.63,5,2,2
52.19,5,3,2
