"Y","W","S","A"
0,1,0,2
0,1,1,2
NA,1,2,1
0,1,2,2
0,2,0,2
0,2,1,2
0,2,2,1
0,2,2,2
0,3,0,2
0,3,1,2
24.08,3,2,2
58.18,3,3,2
0,4,0,2
0,4,1,2
0,4,2,2
0,4,3,2
NA,5,0,2
0,5,2,2
0,5,3,2
0,1,0,1
0,1,0,2
0,1,1,1
38.77,1,1,2
39.47,1,2,1
16.33,1,2,2
0,1,3,1
344.23,2,0,2
0,2,1,2
0,2,2,1
9.38,2,2,2
0,3,0,2
0,3,1,2
0,3,2,2
0,3,3,2
0,4,2,2
0,4,3,2
0,5,3,2
0,1,0,2
78.29,1,1,2
147.17,1,2,1
0,1,2,2
0,2,0,2
0,2,1,2
0,2,2,1
18.39,2,2,2
0,3,0,2
0,3,1,2
0,3,2,1
50.24,3,2,2
0,3,3,2
NA,4,0,2
0,4,1,2
0,4,2,1
0,4,2,2
0,4,3,2
0,5,0,2
0,5,1,2
0,5,2,2
0,5,3,2
0,1,0,1
0,1,0,2
0,1,1,1
0,1,1,2
0,1,2,1
0,1,2,2
0,1,3,1
NA,2,0,1
89.3,2,0,2
0,2,1,2
0,2,2,1
48.74,2,2,2
0,2,3,1
0,2,3,2
0,3,0,2
0,3,1,2
0,3,2,1
0,3,2,2
0,3,3,2
0,4,1,2
25.34,4,2,2
0,4,3,2
100.78,5,2,2
0,5,3,2
0,1,0,1
0,1,0,2
0,1,1,1
0,1,1,2
14.66,1,2,1
181.45,1,2,2
0,1,3,1
284.86,2,0,2
0,2,1,2
27.11,2,2,1
38.44,2,2,2
84.82,2,3,1
73.98,3,0,2
0,3,1,2
0,3,2,1
0,3,2,2
0,3,3,1
0,3,3,2
NA,4,0,2
0,4,1,2
31.45,4,2,2
0,4,3,1
0,5,2,2
0,5,3,2
0,1,0,1
0,1,0,2
0,1,1,1
0,1,2,1
0,1,2,2
0,1,3,1
0,2,0,2
0,2,1,1
0,2,1,2
0,2,2,1
0,2,2,2
0,2,3,1
0,3,1,2
0,3,2,1
0,3,2,2
0,3,3,1
0,3,3,2
0,4,2,1
142.64,4,2,2
0,4,3,1
0,4,3,2
0,5,2,2
0,5,3,1
0,5,3,2
0,1,0,1
368.63,1,0,2
0,1,1,1
115.91,1,1,2
0,1,2,1
0,1,2,2
0,1,3,1
0,2,0,2
0,2,1,2
0,2,2,1
22.35,2,2,2
0,2,3,1
0,3,0,2
0,3,1,2
0,3,2,1
22.7,3,2,2
0,3,3,1
0,3,3,2
NA,4,0,2
0,4,1,2
0,4,2,1
27.17,4,2,2
0,4,3,1
0,4,3,2
48.57,5,2,2
0,5,3,2
NA,1,0,1
0,1,0,2
0,1,1,2
0,1,2,1
13.72,1,2,2
0,1,3,1
0,1,3,2
0,2,0,2
0,2,1,2
0,2,2,1
18.65,2,2,2
0,3,0,2
0,3,1,2
0,3,2,2
0,3,3,2
0,4,2,2
0,1,0,1
72.12,1,0,2
0,1,1,1
33.97,1,1,2
0,1,2,1
0,1,2,2
0,2,0,1
0,2,0,2
60.39,2,1,2
0,2,2,1
75.84,2,2,2
0,2,3,1
0,3,0,2
0,3,1,2
0,3,2,2
0,3,3,2
0,4,0,2
0,4,1,2
42.7,4,2,2
0,4,3,2
71.63,5,2,2
0,5,3,2
